study_id,Title,Reference,Species,Migratory_status,IUCN,Species_type,Feeding_habit,Max_Body_mass_g,Beak.Length_Culmen,Beak.Width,Wing.Length,Mass,Trophic.Level,Trophic.Niche,Habitat,Habitat.Density,Migration,Primary.Lifestyle,Longitude,Latitude,Location,Province,Country,Continent,Years_sampling,Environment,Sites_code,Tissue_abr,Tissue,Extraction_method,Identification,Ref_method,Number_of_species,TNMP,Mppersp,mp
3,Microplastic Quantiffcation of the Proventriculus and Gizzard of Florida Seabirds,Clark et al_2021,Nannopterum auritum,Full migrant,LC,Aquatic bird,Piscivore,2500.00 ,68.20 ,12.00 ,311.80 ,1806.50 ,Carnivore,Aquatic predator,Marine,3,2,Aquatic,-80.53 ,25.01 ,Florida Keys Wild Bird Center,Florida,United States of America,North America,2018,,,gizzard,Gizzard,KOH,Stereomicroscope,Provencher et al. 2019; Zhao et al. 2016,10,,9.6,9.6
3,Microplastic Quantiffcation of the Proventriculus and Gizzard of Florida Seabirds,Clark et al_2021,Thalasseus maximus,Full migrant,LC,Aquatic bird,Piscivore,,73.70 ,8.40 ,363.70 ,415.30 ,Carnivore,Aquatic predator,Marine,3,3,Aerial,-80.53 ,25.01 ,Florida Keys Wild Bird Center,Florida,United States of America,North America,2018,,,gizzard,Gizzard,KOH,Stereomicroscope,Provencher et al. 2019; Zhao et al. 2016,9,,9.9,9.9
4,Microplastics in Digestive System of Little-black cormorant (Phalacrocorax sulcirostris) in Pulau Rambut Sanctuary,Susanti et al_2022,Phalacrocorax sulcirostris,Not a Migrant,LC,Aquatic bird,Piscivore,3700.00 ,51.90 ,8.60 ,248.80 ,995.00 ,Carnivore,Aquatic predator,Wetland,3,1,Aquatic,106.69 ,-5.98 ,Pulau Rambut,,Indonesia,Asia,2018,,,GIT,GIT,NaCl,Stereomicroscope,Boerger et al. 2010,,,320.0,320.0
5,Microplastic Quanti?cation in Aquatic Birds: Biomonitoring the Environmental Health of the Panjkora River Freshwater Ecosystem in Pakistan,Bilal et al_2023,Anas platyrhynchos,Full Migrant,LC,Waterbird,Omnivore,1082.00 ,58.50 ,20.80 ,263.40 ,843.40 ,Herbivore,Herbivore aquatic,Wetland,3,2,Aquatic,71.79 ,34.77 ,Panjkora River,,Pakistan,Asia,2022,Freshwater,,crop,Crop,KOH,Stereomicroscope & FTIR,,20,892,44.6,44.6
5,Microplastic Quanti?cation in Aquatic Birds: Biomonitoring the Environmental Health of the Panjkora River Freshwater Ecosystem in Pakistan,Bilal et al_2023,Anas platyrhynchos,Full Migrant,LC,Waterbird,Omnivore,1082.00 ,58.50 ,20.80 ,263.40 ,843.40 ,Herbivore,Herbivore aquatic,Wetland,3,2,Aquatic,71.79 ,34.77 ,Panjkora River,,Pakistan,Asia,2022,Freshwater,,gizzard,Gizzard,KOH,Stereomicroscope & FTIR,,20,1141,57.1,57.1
6,"Organochlorine pesticides, polycyclic aromatic hydrocarbons, metals and metalloids in microplastics found in regurgitated pellets of black vulture from Campeche, Mexico",Borges-Ramirez et al_2021,Coragyps atratus,Full Migrant,LC,Landbird,Carnivore,2700.00 ,60.00 ,14.80 ,410.10 ,1881.70 ,Omnivore,Scavenger,Human modified,3,2,Terrestrial,-90.52 ,19.84 ,Campeche city landfill,Campeche,Mexico,North America,2019,Terrestrial,,pellets,RP,Dried & Crumbling,Stereomicroscope & FTIR,Auge 2017,24,225,9.4,9.4
6,"Organochlorine pesticides, polycyclic aromatic hydrocarbons, metals and metalloids in microplastics found in regurgitated pellets of black vulture from Campeche, Mexico",Borges-Ramirez et al_2021,Coragyps atratus,Full Migrant,LC,Landbird,Carnivore,2700.00 ,60.00 ,14.80 ,410.10 ,1881.70 ,Omnivore,Scavenger,Human modified,3,2,Terrestrial,-90.52 ,19.84 ,Campeche city landfill,Campeche,Mexico,North America,2020,Terrestrial,,pellets,RP,Dried & Crumbling,Stereomicroscope & FTIR,Auge 2017,34,164,6.8,6.8
7,Breeding seabirds as vectors of microplastics from sea to land: Evidence from colonies in Arctic Canada,Bourdages et al_2021,Fulmarus glacialis,Full Migrant,LC,Seabird,Piscivore,1000.00 ,41.30 ,11.90 ,321.10 ,611.90 ,Carnivore,Aquatic predator,Marine,3,3,Aquatic,67.23 ,62.47 ,Qaqulluit National Wildlife Area,Qikiqtarjuaq,Nunavut,,2018,Terrestrial,,GIT,GIT,KOH,Stereomicroscope,Provencher et al. 2017,,,1.8,1.8
7,Breeding seabirds as vectors of microplastics from sea to land: Evidence from colonies in Arctic Canada,Bourdages et al_2021,Fulmarus glacialis,Full Migrant,LC,Seabird,Piscivore,1000.00 ,41.30 ,11.90 ,321.10 ,611.90 ,Carnivore,Aquatic predator,Marine,3,3,Aquatic,67.23 ,62.47 ,Qaqulluit National Wildlife Area,Qikiqtarjuaq,Nunavut,,2018,Terrestrial,,Fecal precursor,FP,KOH,Stereomicroscope,Provencher et al. 2017,,,0.89,0.89
7,Breeding seabirds as vectors of microplastics from sea to land: Evidence from colonies in Arctic Canada,Bourdages et al_2021,Uria lomvia,Full Migrant,LC,Seabird,Piscivore,1481.00 ,49.30 ,8.60 ,206.80 ,964.00 ,Carnivore,Aquatic predator,Marine,3,3,Aquatic,66.93 ,61.77 ,Akpait National Wildlife area,Qikiqtarjuaq,Nunavat,,2018,Terrestrial,,Fecal precursor,FP,KOH,Stereomicroscope,Provencher et al. 2017,,,0.33,0.33
